Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8150,https://www.congress.gov/bill/118th-congress/house-bill/8150,To require the Commissioner of U.S. Customs and Border Protection to establish procedures for conducting maintenance projects at ports of entry at which the Office of Field Operations conducts certain enforcement and facilitation activities.,"Gonzales, Tony [Rep.-R-TX-23]",4/29/2024,"House - Homeland Security, Ways and Means","Referred to the Committee on Homeland Security, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5
H.R. 8149,https://www.congress.gov/bill/118th-congress/house-bill/8149,To amend the Internal Revenue Code of 1986 to clarify the tax treatment of digital asset rewards.,"Ferguson, A. Drew [Rep.-R-GA-3]",4/29/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 8148,https://www.congress.gov/bill/118th-congress/house-bill/8148,Audio-Only Telehealth Access Act of 2024,"Feenstra, Randy [Rep.-R-IA-4]",4/29/2024,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8147,https://www.congress.gov/bill/118th-congress/house-bill/8147,Repealing Big Brother Overreach Act,"Davidson, Warren [Rep.-R-OH-8]",4/29/2024,House - Financial Services,Referred to the House Committee on Financial Services.,16
H.R. 8146,https://www.congress.gov/bill/118th-congress/house-bill/8146,Police Our Border Act,"D'Esposito, Anthony [Rep.-R-NY-4]",4/29/2024,House - Judiciary | Senate - Judiciary,Received in the Senate and Read twice and referred to the Committee on the Judiciary.,0
H.R. 8145,https://www.congress.gov/bill/118th-congress/house-bill/8145,Table Rock Lake Property Flexibility Act,"Burlison, Eric [Rep.-R-MO-7]",4/29/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,0
H.R. 8144,https://www.congress.gov/bill/118th-congress/house-bill/8144,Rural 340B Access Act of 2024,"Bergman, Jack [Rep.-R-MI-1]",4/29/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,3
H.R. 8143,https://www.congress.gov/bill/118th-congress/house-bill/8143,Free Credit Scores for Consumers Act of 2024,"Beatty, Joyce [Rep.-D-OH-3]",4/29/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 8142,https://www.congress.gov/bill/118th-congress/house-bill/8142,Examining Educational Redlining in Lending Act,"Beatty, Joyce [Rep.-D-OH-3]",4/29/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 8141,https://www.congress.gov/bill/118th-congress/house-bill/8141,Azerbaijan Sanctions Review Act of 2024,"Titus, Dina [Rep.-D-NV-1]",4/26/2024,"House - Foreign Affairs, Judiciary","Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",31
H.R. 8140,https://www.congress.gov/bill/118th-congress/house-bill/8140,SERVICE Act of 2024,"Strong, Dale W. [Rep.-R-AL-5]",4/26/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,16
H.R. 8139,https://www.congress.gov/bill/118th-congress/house-bill/8139,Cooperation in Local Procurement Act,"Stauber, Pete [Rep.-R-MN-8]",4/26/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1
H.R. 8138,https://www.congress.gov/bill/118th-congress/house-bill/8138,"To direct the Secretary of Agriculture to establish a disaster response training program to train certain Farm Service Agency employees to provide outreach and technical assistance to farmers and ranchers affected by a natural disaster, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",4/26/2024,House - Agriculture,Referred to the House Committee on Agriculture.,1
H.R. 8137,https://www.congress.gov/bill/118th-congress/house-bill/8137,To provide for an exception to the restrictions described in the Assisted Suicide Funding Restriction Act of 1997 with respect to certain States.,"Pettersen, Brittany [Rep.-D-CO-7]",4/26/2024,"House - Energy and Commerce, Ways and Means, Judiciary, Education and the Workforce, Oversight and Accountability, Natural Resources, Foreign Affairs","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, the Judiciary, Education and the Workforce, Oversight and Accountability, Natural Resources, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8136,https://www.congress.gov/bill/118th-congress/house-bill/8136,VA Appeals Reform Act of 2024,"Peltola, Mary Sattler [Rep.-D-AK-At Large]",4/26/2024,"House - Veterans' Affairs, Judiciary","Referred to the Committee on Veterans' Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8135,https://www.congress.gov/bill/118th-congress/house-bill/8135,High Rise Fire Sprinkler Incentive Act of 2024,"Pascrell, Bill [Rep.-D-NJ-9]",4/26/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 8134,https://www.congress.gov/bill/118th-congress/house-bill/8134,Restoring America’s Leadership in Innovation Act of 2024,"Massie, Thomas [Rep.-R-KY-4]",4/26/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,13
H.R. 8133,https://www.congress.gov/bill/118th-congress/house-bill/8133,"To amend title 10, United States Code, to permit the Secretary concerned to furnish mortuary services in the case of certain citizens of the United States who die outside of the United States, and for other purposes.","Kiley, Kevin [Rep.-R-CA-3]",4/26/2024,House - Armed Services,Referred to the House Committee on Armed Services.,0
H.R. 8132,https://www.congress.gov/bill/118th-congress/house-bill/8132,Balancing Incentives Act of 2024,"Kaptur, Marcy [Rep.-D-OH-9]",4/26/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,1
H.R. 8131,https://www.congress.gov/bill/118th-congress/house-bill/8131,Bureau of Prisons Inmate Trust Fund Accountability Act,"Gooden, Lance [Rep.-R-TX-5]",4/26/2024,"House - Judiciary, Financial Services","Referred to the Committee on the Judiciary, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8130,https://www.congress.gov/bill/118th-congress/house-bill/8130,La Comisión de las Ocupaciónes Americanos Act,"Espaillat, Adriano [Rep.-D-NY-13]",4/26/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1
H.R. 8129,https://www.congress.gov/bill/118th-congress/house-bill/8129,American Nuclear Workforce Act,"Donalds, Byron [Rep.-R-FL-19]",4/26/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,4
H.R. 8128,https://www.congress.gov/bill/118th-congress/house-bill/8128,To require health insurance coverage for scalp cooling items.,"DeLauro, Rosa L. [Rep.-D-CT-3]",4/26/2024,"House - Energy and Commerce, Ways and Means, Education and the Workforce, Armed Services, Veterans' Affairs, Oversight and Accountability","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, Education and the Workforce, Armed Services, Veterans' Affairs, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 8127,https://www.congress.gov/bill/118th-congress/house-bill/8127,HEIRS Act of 2024,"Williams, Nikema [Rep.-D-GA-5]",4/23/2024,House - Financial Services,Referred to the House Committee on Financial Services.,10
H.R. 8126,https://www.congress.gov/bill/118th-congress/house-bill/8126,"To amend the Financial Literacy and Education Improvement Act to include secondary schools in best practices for teaching financial literacy, and for other purposes.","Valadao, David G. [Rep.-R-CA-22]",4/23/2024,"House - Financial Services, Education and the Workforce","Referred to the Committee on Financial Services, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8125,https://www.congress.gov/bill/118th-congress/house-bill/8125,"To designate the area between the intersections of 18th Street Northwest and Church Street Northwest, and 18th Street Northwest and P Street Northwest, in the District of Columbia as ""Jimmy Lai Way"", and for other purposes.","Smith, Christopher H. [Rep.-R-NJ-4]",4/23/2024,"House - Oversight and Accountability, Foreign Affairs","Referred to the Committee on Oversight and Accountability, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
